City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Riberalta,BO,2022-06-17 21:44:07,-10.9833,-66.1,84.4,74,75,0.0
99,Ust-Omchug,RU,2022-06-17 21:44:08,61.15,149.6333,53.87,71,72,1.63
100,Pangnirtung,CA,2022-06-17 21:44:08,66.1451,-65.7125,39.2,70,75,16.11
101,Puerto Ayora,EC,2022-06-17 21:44:08,-0.7393,-90.3518,76.96,89,57,8.01
102,Bull Savanna,JM,2022-06-17 21:44:09,17.8868,-77.5902,81.72,67,93,13.4
103,Jamestown,US,2022-06-17 21:44:09,42.097,-79.2353,74.79,49,75,16.11
104,Mamontovo,RU,2022-06-17 21:44:10,52.7055,81.6244,55.36,94,99,7.47
105,Teguldet,RU,2022-06-17 21:44:10,57.3064,88.1667,51.75,99,77,4.72
106,Mar Del Plata,AR,2022-06-17 21:44:11,-38.0023,-57.5575,46.42,81,75,14.97
107,Gat,IL,2022-06-17 21:44:11,31.61,34.7642,75.88,100,0,3.6
108,Norman Wells,CA,2022-06-17 21:44:11,65.282,-126.8329,68.04,34,20,13.8
109,Luanda,AO,2022-06-17 21:41:03,-8.8368,13.2343,71.6,78,20,5.75
110,Port Elizabeth,ZA,2022-06-17 21:44:12,-33.918,25.5701,48.49,93,0,3.44
111,Traverse City,US,2022-06-17 21:44:12,44.7631,-85.6206,71.67,43,20,11.5
112,New Norfolk,AU,2022-06-17 21:44:12,-42.7826,147.0587,47.91,90,100,0.96
113,Shache,CN,2022-06-17 21:44:13,38.4167,77.2406,74.46,31,100,6.55
114,Parsabad,IR,2022-06-17 21:44:13,39.6482,47.9174,73.72,60,0,11.5
115,Omboue,GA,2022-06-17 21:44:13,-1.5746,9.2618,73.09,82,77,4.94
116,Lebu,CL,2022-06-17 21:44:14,-37.6167,-73.65,47.55,79,85,7.61
117,Wonthaggi,AU,2022-06-17 21:40:39,-38.6044,145.5913,50.83,93,48,7.52
118,Porto Novo,BJ,2022-06-17 21:44:14,6.4965,2.6036,78.62,94,97,9.78
119,Kamaishi,JP,2022-06-17 21:44:14,39.2667,141.8833,67.55,74,0,1.45
120,Saint-Philippe,RE,2022-06-17 21:44:15,-21.3585,55.7679,67.59,78,34,2.24
121,Kedrovyy,RU,2022-06-17 21:44:15,56.1667,91.8167,50.41,95,46,3.65
122,Bredasdorp,ZA,2022-06-17 21:44:16,-34.5322,20.0403,55.35,43,44,6.06
123,Gilgit,PK,2022-06-17 21:44:16,35.9221,74.3087,66.74,77,100,0.58
124,Lakes Entrance,AU,2022-06-17 21:44:16,-37.8811,147.981,46.6,90,25,5.37
125,Ahuimanu,US,2022-06-17 21:44:17,21.4447,-157.8378,83.91,64,75,16.11
126,Talcahuano,CL,2022-06-17 21:40:15,-36.7167,-73.1167,51.48,93,100,4.61
127,Deputatskiy,RU,2022-06-17 21:44:17,69.3,139.9,40.96,64,18,2.89
128,Mogocha,RU,2022-06-17 21:44:18,53.7333,119.7667,56.01,87,93,2.21
129,Prince Rupert,CA,2022-06-17 21:43:44,54.3161,-130.3201,58.69,83,100,16.11
130,Hobart,AU,2022-06-17 21:44:19,-42.8794,147.3294,48.25,95,75,3.44
131,Bang Saphan,TH,2022-06-17 21:44:19,11.2126,99.5117,77.07,91,79,4.18
132,Beringovskiy,RU,2022-06-17 21:44:19,63.05,179.3167,49.05,75,1,8.43
133,Taoudenni,ML,2022-06-17 21:45:20,22.6783,-3.9836,87.13,44,100,23.26
134,Alyangula,AU,2022-06-17 21:45:20,-13.8483,136.4192,73.15,77,66,11.77
135,Shizunai,JP,2022-06-17 21:45:21,42.3339,142.3669,60.93,83,0,1.28
136,Aksha,RU,2022-06-17 21:45:21,50.2814,113.2867,62.06,69,49,1.52
137,Salinopolis,BR,2022-06-17 21:45:22,-0.6136,-47.3561,78.22,83,96,7.43
138,Bilma,NE,2022-06-17 21:45:22,18.6853,12.9164,92.91,12,7,15.7
139,Cayenne,GF,2022-06-17 21:45:22,4.9333,-52.3333,82.09,14,0,3.44
140,Arlit,NE,2022-06-17 21:45:23,18.7369,7.3853,95.27,18,95,3.58
